avr_ref_time,avr_data_time,avr_tref,dof,Ktest,z_chi2,N_0,N0,NS
0.61,0.64,56.6,55.703996637448206,0.0643231509692703,0.1,1000,600,1
0.61,0.75,56.6,55.703996637448206,0.0643231509692703,0.81,1000,600,5
0.61,0.84,56.6,55.703996637448206,0.0643231509692703,1.72,1000,600,10
0.61,0.74,56.6,55.703996637448206,0.0643231509692703,2.74,1000,600,15
0.61,0.78,56.6,55.703996637448206,0.0643231509692703,3.67,1000,600,20
0.61,0.77,56.6,55.703996637448206,0.0643231509692703,5.37,1000,600,30
0.61,1.04,56.6,55.703996637448206,0.0643231509692703,inf,1000,600,50
