avr_ref_time,avr_data_time,avr_tref,dof,Ktest,z_chi2,N_0,N0,NS
0.56,0.55,54.96,54.61233100108706,0.04409058437086388,0.06,1500,800,1
0.56,0.65,54.96,54.61233100108706,0.04409058437086388,1.06,1500,800,5
0.56,0.76,54.96,54.61233100108706,0.04409058437086388,1.8,1500,800,10
0.56,0.8,54.96,54.61233100108706,0.04409058437086388,2.71,1500,800,15
0.56,0.85,54.96,54.61233100108706,0.04409058437086388,3.67,1500,800,20
0.56,0.92,54.96,54.61233100108706,0.04409058437086388,5.28,1500,800,30
0.56,0.95,54.96,54.61233100108706,0.04409058437086388,8.21,1500,800,50
